127.0.0.1 - - [20/Nov/2024:22:45:33 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:45:34 +0530] "GET /Demo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:45:34 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:45:52 +0530] "GET /Demo/Login.jsp HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:46:00 +0530] "POST /Demo/loginServlet HTTP/1.1" 200 7469
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:46:04 +0530] "GET /Demo/ViewExpenses.jsp HTTP/1.1" 200 9572
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:50:36 +0530] "GET /Demo/Index.html HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:51:07 +0530] "GET /Demo/Index.html? HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:52:14 +0530] "GET /Demo/Index.html? HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:56:56 +0530] "GET /Demo/register.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:58:39 +0530] "POST /Demo/RegistrationServlet HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:58:57 +0530] "POST /Demo/loginServlet HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [20/Nov/2024:22:59:09 +0530] "POST /Demo/loginServlet HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:14 +0530] "POST /Demo/loginServlet HTTP/1.1" 200 7469
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:28 +0530] "GET /Demo/logout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:30 +0530] "GET /Demo/userdashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:33 +0530] "GET /Demo/LogoutServlet HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:38 +0530] "GET /Demo/profile.jsp HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:41 +0530] "GET /Demo/LogoutServlet HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:01:50 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9297
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:12:53 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9276
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:12:53 +0530] "GET /Demo/Financial%20Goals.jpg HTTP/1.1" 200 695297
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:26:34 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9263
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:26:34 +0530] "GET /Demo/SaveBeforeYouSpend.jpg HTTP/1.1" 200 583327
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:26:34 +0530] "GET /Demo/Financial%20Goals.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:30:19 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9249
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:30:19 +0530] "GET /Demo/SaveBeforeYouSpend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:30:19 +0530] "GET /Demo/Financial%20Goals.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:30:19 +0530] "GET /Demo/TrackYourSpending.jpg HTTP/1.1" 200 1294342
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:38:24 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:38:24 +0530] "GET /Demo/TrackYourSpending.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:38:24 +0530] "GET /Demo/SaveBeforeYouSpend.jpg HTTP/1.1" 200 1060837
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:38:24 +0530] "GET /Demo/Financial%20Goals.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:43:54 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9234
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:43:54 +0530] "GET /Demo/SaveBeforeYouSpend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:43:54 +0530] "GET /Demo/BuildanEmergencyFund HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:43:54 +0530] "GET /Demo/TrackYourSpending.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:43:54 +0530] "GET /Demo/Financial%20Goals.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:44:23 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:44:23 +0530] "GET /Demo/BuildanEmergencyFund HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:44:43 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:44:43 +0530] "GET /Demo/SaveBeforeYouSpend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:44:43 +0530] "GET /Demo/BuildanEmergencyFund.jpg HTTP/1.1" 200 3127896
0:0:0:0:0:0:0:1 - - [20/Nov/2024:23:45:35 +0530] "GET /Demo/finincialtips.html HTTP/1.1" 200 9261
